"URI de la canción","Nombre de la canción","URI(s) del artista","Nombre(s) del artista","URI del álbum","Nombre del álbum","URI(s) del artista del álbum","Nombre(s) del artista del álbum","Fecha de lanzamiento del álbum","URL de la imagen del álbum","Número de disco","Número de la canción","Duración de la canción (ms)","URL de vista previa de la canción","Explícito","Popularidad","ISRC","Añadido por","Añadido en"
"spotify:track:2nLtzopw4rPReszdYBJU6h","Numb","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:4Gfnly5CzMJQqkUFfoHaP3","Meteora","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2003-03-25","https://i.scdn.co/image/ab67616d0000b2735f1f51d14e8bea89484ecd1b","1","13","187520","https://p.scdn.co/mp3-preview/d6d67b4f23b4865e07821f78c45a98035da95d61?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","USWB10300474","","2026-02-23T23:52:19Z"
"spotify:track:3RiPr603aXAoi4GHyXx0uy","Hymn for the Weekend","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:3cfAM8b8KqJRoIzt3zLKqw","A Head Full of Dreams","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2015-12-04","https://i.scdn.co/image/ab67616d0000b2738ff7c3580d429c8212b9a3b6","1","3","258266","https://p.scdn.co/mp3-preview/cb0aa0a64ef56a161fbe2b298174cd69d8a71a9d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","GBAYE1500979","","2026-02-09T23:30:40Z"
"spotify:track:2dSjyvBWIX5oVyync5bSq7","Luv u","spotify:artist:5zixe6AbgXPqt4c1uSl94L, spotify:artist:1XlLhtgJjC4ROQZilBZAvw","Connor Price, Nic D","spotify:album:31dEGumCLEuZEBnMNdiLr2","Luv u","spotify:artist:5zixe6AbgXPqt4c1uSl94L, spotify:artist:1XlLhtgJjC4ROQZilBZAvw","Connor Price, Nic D","2026-01-30","https://i.scdn.co/image/ab67616d0000b27335eb8b4f7c57f0a8feffacd3","1","1","130281","https://p.scdn.co/mp3-preview/a672336b65cc9d2a79e856b0242dfd82fd70bced?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","QZES82686600","","2026-02-02T11:42:39Z"
"spotify:track:7i0jaBLpIADxqNbhAb4XFb","Diamonds","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","spotify:album:5UDXzVwWnn3mDy3mTpQPYb","Unapologetic (Edited Version)","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2012-12-10","https://i.scdn.co/image/ab67616d0000b273ab54aadb2320f1c687735d1e","1","2","225146","","false","76","USUM71211793","","2026-01-18T20:35:49Z"
"spotify:track:49FYlytm3dAAraYgpoJZux","Umbrella","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H, spotify:artist:3nFkdlSjzX9mRTtwJOzDYB","Rihanna, JAŸ-Z","spotify:album:3JSWZWeTHF4HDGt5Eozdy7","Good Girl Gone Bad: Reloaded","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2008-06-02","https://i.scdn.co/image/ab67616d0000b273f9f27162ab1ed45b8d7a7e98","1","1","275986","","false","84","USUM70736771","","2026-01-18T20:35:40Z"
"spotify:track:6qn9YLKt13AGvpq9jfO8py","We Found Love","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H, spotify:artist:7CajNmpbOovFoOoasH2HaY","Rihanna, Calvin Harris","spotify:album:2g1EakEaW7fPTZC6vBmBCn","Talk That Talk","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2011-11-18","https://i.scdn.co/image/ab67616d0000b273bef074de9ca825bddaeb9f46","1","3","215226","","false","85","USUM71115507","","2026-01-17T20:56:19Z"
"spotify:track:1nZzRJbFvCEct3uzu04ZoL","Part Of Me","spotify:artist:6jJ0s89eD6GaHleKKya26X","Katy Perry","spotify:album:5BvgP623rtvlc0HDcpzquz","Teenage Dream: The Complete Confection","spotify:artist:6jJ0s89eD6GaHleKKya26X","Katy Perry","2012-03-12","https://i.scdn.co/image/ab67616d0000b273937af329667311f4b2831616","1","14","216160","","false","74","USCA21102809","","2026-01-12T20:03:22Z"
"spotify:track:7MXlTgQeo3IVlMpLnZuhxc","It's Time","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:6nxDQi0FeEwccEPJeNySoS","Night Visions","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2012-09-04","https://i.scdn.co/image/ab67616d0000b273407bd04707c463bbb3410737","1","3","240306","","false","75","USUM71200987","","2026-01-12T18:46:42Z"
"spotify:track:0pGMAK5wooEtjAEcP8bkKL","Hundred Miles","spotify:artist:0ZRBa9pTfhhCsJW95F1ugg, spotify:artist:69YKwunlA0xl2yMS12cyMu","YALL, Gabriela Richardson","spotify:album:3cfGm14BreOKAjFe8QwWoZ","Hundred Miles","spotify:artist:0ZRBa9pTfhhCsJW95F1ugg","YALL","2015-10-16","https://i.scdn.co/image/ab67616d0000b2739a2e4842564d04d62d2b06e9","1","1","172414","https://p.scdn.co/mp3-preview/f17aa386497cb856421e73acb62d9689b87f6067?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","ES7001520501","","2026-01-08T11:16:33Z"
"spotify:track:7FJP35tUJ2121EJsFpU1Gh","Beautiful Now","spotify:artist:2qxJFvFYMEDqd7ui6kSAcq, spotify:artist:50JJSqHUf2RQ9xsHs0KMHg","Zedd, Jon Bellion","spotify:album:453l82SGKWDAlOpKkUSX1u","True Colors","spotify:artist:2qxJFvFYMEDqd7ui6kSAcq","Zedd","2015-05-15","https://i.scdn.co/image/ab67616d0000b273ae6c3db8dad81e80f36dca33","1","3","218292","","false","1","USUM71505090","","2026-01-03T16:28:12Z"
"spotify:track:5Iy2Jj87Ha0C0IBlNE1I4y","The Days","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","spotify:album:0h2knr6qpiAq0tV5ri5JMF","The Days / Nights","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","2014-01-01","https://i.scdn.co/image/ab67616d0000b2730ae4f4d42e4a09f3a29f64ad","1","1","278480","","false","66","CH3131340471","","2026-01-03T16:22:40Z"
"spotify:track:3ScJy88F8KqGDfWu8XJhHx","If I Lose Myself - Alesso vs OneRepublic","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ, spotify:artist:4AVFqumd2ogHFlRbKIjp1t","OneRepublic, Alesso","spotify:album:42UJjk8i8L0De7lQtu7sqi","Native","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2014-01-01","https://i.scdn.co/image/ab67616d0000b2736f91180b662ca15ad2fb88f0","1","19","215186","","false","73","USUM71303190","","2026-01-03T16:22:23Z"
